Mean Power,Peak Power,Energy,Hamming Distance,Label,Predicted Label
0.049414566,0.073095,2.57887157,0,Normal,Normal
0.05462314,0.160128,3.448044291,7,Attack,Attack
0.051239799,0.07214,2.764624883,0,Normal,Normal
0.054844737,0.157908,3.49907487,7,Attack,Attack
0.053151555,0.076066,3.018245843,0,Normal,Normal
0.057311883,0.170012,3.785109555,11,Attack,Attack
0.053480244,0.075747,3.039431589,0,Normal,Normal
0.055190394,0.157158,3.487884025,9,Attack,Attack
0.048475569,0.075763,2.477862785,0,Normal,Normal
0.056475133,0.163589,3.66191221,7,Attack,Attack
0.054175639,0.076355,3.10203021,0,Normal,Normal
0.055184679,0.167542,3.583793534,9,Attack,Attack
0.053932818,0.080717,3.098901622,0,Normal,Normal
0.058408546,0.172682,3.896611455,9,Attack,Attack
0.052809012,0.07179,2.916640898,0,Normal,Normal
0.056556059,0.160647,3.629339448,8,Attack,Attack
0.051511344,0.077292,2.792487007,0,Normal,Normal
0.057374142,0.170481,3.788803227,9,Attack,Attack
0.051879979,0.078666,2.860978761,0,Normal,Normal
0.056564248,0.159931,3.574027962,9,Attack,Attack
0.053057677,0.073605,2.957763342,0,Normal,Normal
0.056634437,0.168933,3.676923763,7,Attack,Attack
0.053298485,0.074212,2.980660129,0,Normal,Normal
0.057821477,0.164057,3.935718865,7,Attack,Attack
0.051523878,0.072769,2.804496812,0,Normal,Normal
0.055122524,0.163377,3.346935082,6,Attack,Attack
0.053197199,0.080142,2.991730444,0,Normal,Normal
0.057285658,0.158488,3.747251414,9,Attack,Attack
0.054247388,0.075325,3.095654711,0,Normal,Normal
0.057664063,0.16786,3.764763532,9,Attack,Attack
0.052755412,0.078534,2.965987739,0,Normal,Normal
0.056542215,0.163817,3.753226768,12,Attack,Attack
0.052509563,0.076833,2.919354054,0,Normal,Normal
0.053973567,0.167623,3.391400633,6,Attack,Attack
0.052776915,0.071359,2.928649947,0,Normal,Normal
0.054465044,0.167919,3.420030978,9,Attack,Attack
0.052043013,0.076436,2.878599523,0,Normal,Normal
0.056700199,0.163927,3.674454873,5,Attack,Attack
0.05175096,0.076087,2.83508164,0,Normal,Normal
0.057329307,0.168646,3.746221948,7,Attack,Attack
0.054686845,0.079007,3.161610609,0,Normal,Normal
0.055881466,0.169737,3.591646439,10,Attack,Attack
0.052827478,0.074643,2.939354795,0,Normal,Normal
0.056408602,0.160357,3.538351574,6,Attack,Attack
0.053439815,0.070012,2.983172652,0,Normal,Normal
0.05642638,0.161758,3.592289222,7,Attack,Attack
0.054396848,0.078107,3.122418868,0,Normal,Normal
